Species A	Species B	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	20	20	0.5967918966861657	0.010471812015703633
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	20	30	0.6199833620492916	0.010289565243628078
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	20	40	0.6328592648653296	0.011580804916464625
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	20	50	0.6402112937437356	0.011453391206804197
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	20	100	0.6627663851211626	0.010832799272895948
rat	bakers	500	molecular_function	auc	dsd-knn	30	-1	0.5388903943170189	0.010431073644397892
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	30	10	0.5817634848848071	0.01037911999486767
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	30	20	0.6030505823426009	0.010245525920491768
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	30	30	0.6255345727505889	0.01110056721299188
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	30	40	0.6376826685527642	0.011673925520207615
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	30	50	0.6450368503533368	0.01176609128958925
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	30	100	0.6668093527262289	0.010380567700849254
rat	bakers	500	molecular_function	auc	dsd-knn	40	-1	0.563294753155162	0.008024669891183273
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	40	10	0.5915610909664597	0.010144372722287128
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	40	20	0.6113912397779308	0.009968002166873777
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	40	30	0.632804612560034	0.010743929304362212
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	40	40	0.6443139285618951	0.010715811694032028
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	40	50	0.6511130731023063	0.010502109161275645
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	40	100	0.671808759564593	0.009749437682902555
rat	bakers	500	molecular_function	auc	dsd-knn	50	-1	0.5767518141578586	0.008836098027439636
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	50	10	0.60002074203213	0.009576829626041892
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	50	20	0.6178199793789249	0.009980154716529589
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	50	30	0.6376673422648665	0.011120636197369463
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	50	40	0.6489416153654146	0.011262671137850674
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	50	50	0.6557616302997518	0.010641023842469715
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	50	100	0.6755365153856664	0.011095522247694702
rat	bakers	500	molecular_function	f1max	dsd-knn	10	-1	0.036756681543812605	0.01267006796290533
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	10	10	0.10335899152937307	0.01283279973419685
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	10	20	0.1345936574085332	0.016968944575936708
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	10	30	0.15769586092465995	0.01573805419379008
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	10	40	0.16739192604532502	0.013721017172052012
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	10	50	0.17751688113824796	0.014271490249669274
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	10	100	0.18828076533886323	0.012610561419224689
rat	bakers	500	molecular_function	f1max	dsd-knn	20	-1	0.06376677973233022	0.016200606152531532
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	20	10	0.1153448501216487	0.011333737186626128
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	20	20	0.1427639052454276	0.014620448058020178
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	20	30	0.1650594874226063	0.014571439852413756
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	20	40	0.17401963913631055	0.012440119874139573
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	20	50	0.18315842872014476	0.01335866256848729
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	20	100	0.19138741515295463	0.01209135899798542
rat	bakers	500	molecular_function	f1max	dsd-knn	30	-1	0.07919630387062061	0.011685479491594803
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	30	10	0.12204919136508993	0.008638466017702667
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	30	20	0.14749661390691937	0.012915368383360593
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	30	30	0.16827799399278223	0.0161495361300764
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	30	40	0.1769438230048673	0.013739451045591395
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	30	50	0.1857487415161478	0.01452482385690902
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	30	100	0.19377256343710086	0.012748858039202324
rat	bakers	500	molecular_function	f1max	dsd-knn	40	-1	0.09398958054125747	0.009915373363860738
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	40	10	0.13004921882320772	0.008283703450988519
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	40	20	0.1529826305454472	0.01261038613444935
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	40	30	0.1733752349946716	0.015591980749307356
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	40	40	0.1810713034278229	0.01289013548654274
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	40	50	0.18915411423073814	0.014064082913063047
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	40	100	0.19681089783711353	0.01309612911645993
rat	bakers	500	molecular_function	f1max	dsd-knn	50	-1	0.10742066328933111	0.006484073207582543
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	50	10	0.13911189421855252	0.006745432970939837
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	50	20	0.15881139976818107	0.01222969001363372
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	50	30	0.17836737775423422	0.016054715804948803
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	50	40	0.18575237181096366	0.013994402894231851
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	50	50	0.19360541810856358	0.014801256745992048
rat	bakers	500	molecular_function	f1max	mundo-munk-knn-weight-0.660	50	100	0.19984277017035584	0.013284580636542757
rat	bakers	500	biological_process	top-1-acc	dsd-knn	10	-1	0.010413579169187979	0.010481127552566106
