Species A	Species B	SVD embedding	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	50	10	0.03229959926516743	0.00938749820079869
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	50	20	0.0288831501074965	0.004073368696584294
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	50	30	0.03916714141884631	0.011112208364258053
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	50	40	0.03795786115036055	0.009824577373398955
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	50	50	0.037393742172197375	0.0075729949799171695
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	50	100	0.024684280325863082	0.005140580213515569
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	10	10	0.006199197026024863	0.0019939733458572534
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	10	20	0.0063438585737035594	0.0014617867723215662
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	10	30	0.008471041758801251	0.0017298129410434353
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	10	40	0.007672647657996036	0.0015932243713215808
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	10	50	0.00811904195493562	0.0017476362303795983
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	10	100	0.009661266947924007	0.0015728364257964794
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	20	10	0.007908015794144487	0.0022820890060898623
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	20	20	0.007933664198715972	0.0020162744413358704
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	20	30	0.009712148020592292	0.0016523284332212735
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	20	40	0.008978829918256553	0.0013987250734248764
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	20	50	0.009376621101351457	0.0013931515683695175
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	20	100	0.010490141349069749	0.0015053117488784424
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	30	10	0.008434071557911257	0.0016544167529771324
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	30	20	0.00873906289421091	0.0015726047726084135
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	30	30	0.010164164583066682	0.0014920114138243935
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	30	40	0.009606606006780734	0.0012766980279890793
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	30	50	0.009967348777247911	0.0015468930386205776
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	30	100	0.010985189491529605	0.0015093126035985668
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	40	10	0.009250589863285646	0.0011199460032804698
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	40	20	0.009399454439259273	0.0010726839098987593
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	40	30	0.01086991391970191	0.001020929922527385
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	40	40	0.010439543398778724	0.0009263620853520172
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	40	50	0.010789020306838584	0.0009895380240037678
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	40	100	0.011842141457073851	0.0013647058447117967
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	50	10	0.00937902882825641	0.0011969160626686846
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	50	20	0.009598990333666336	0.0011126802654411298
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	50	30	0.01109898669775261	0.0011729823476865988
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	50	40	0.010728019738474936	0.0011595774558837756
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	50	50	0.011023324239621563	0.0009464356747592493
rat	bakers	250	50	biological_process	aupr	mundo4-knn-weight-0.660	50	100	0.012390465353790518	0.0014399793570682282
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	10	10	0.511968444728504	0.0022584085492648627
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	10	20	0.5156195064854405	0.0026786741320569923
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	10	30	0.5196124858365586	0.00254639541879933
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	10	40	0.5212151475560453	0.0022216580836110313
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	10	50	0.5230328831661173	0.002430092891430765
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	10	100	0.5397366883227719	0.003873437869815192
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	20	10	0.5165111094667312	0.002382585767759229
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	20	20	0.520164485004136	0.002049107150725551
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	20	30	0.5240392115202905	0.0017843414294633055
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	20	40	0.5255923747498159	0.0018788566503900924
