Species A	Species B	SVD embedding	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	40	10	0.1429671960700187	0.023529132443222207
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	40	20	0.1600304701944406	0.020752039979975732
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	40	30	0.17485847742494437	0.01950964201951244
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	40	40	0.1794151047409059	0.01530793492594121
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	40	50	0.18275563997729663	0.014397362063058625
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	40	100	0.19220567366988614	0.01086564337029061
rat	bakers	250	500	molecular_function	f1max	dsd-knn	50	-1	0.10589933553879531	0.006909404104859965
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	50	10	0.15147208989156555	0.020933582864021482
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	50	20	0.1681147611821196	0.019186638608423654
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	50	30	0.18073758803231105	0.017833303361555055
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	50	40	0.18373817893050848	0.014428343466190539
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	50	50	0.18698598774414119	0.014145066260353731
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	50	100	0.19581180396301703	0.01000208945534639
rat	bakers	250	500	biological_process	top-1-acc	dsd-knn	10	-1	0.009637185022336032	0.00759197318850127
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	10	10	0.010992476564862299	0.006273141187189833
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	10	20	0.010887817977770291	0.008197151311671853
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	10	30	0.01092446369145558	0.0046512386125441675
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	10	40	0.015457206037004106	0.005868374658500291
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	10	50	0.009813164543263557	0.0021714251824460867
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	10	100	0.020559775389590796	0.00856844617099337
rat	bakers	250	500	biological_process	top-1-acc	dsd-knn	20	-1	0.012675670147086501	0.006496010614465427
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	20	10	0.01641365605373416	0.006058139186001905
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	20	20	0.01635918801101211	0.00856125519535088
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	20	30	0.014538863646295436	0.005667757914682559
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	20	40	0.021567385388614097	0.007760330542106466
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	20	50	0.015846125035074925	0.005613561643956385
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	20	100	0.019983406513510098	0.009046383217191433
rat	bakers	250	500	biological_process	top-1-acc	dsd-knn	30	-1	0.019537092860025678	0.010005924680846018
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	30	10	0.020878060031032104	0.006885892358683554
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	30	20	0.01904001731734593	0.007569402901608032
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	30	30	0.017175854380213705	0.00567773713791017
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	30	40	0.020360308144878107	0.004347299682622022
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	30	50	0.018947050602112873	0.003714465714735135
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	30	100	0.02003152258427774	0.010677477641647832
rat	bakers	250	500	biological_process	top-1-acc	dsd-knn	40	-1	0.022612095147313997	0.0035464378654705645
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	40	10	0.020889340491026333	0.004290475343208375
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	40	20	0.02071828945813862	0.0059776381182086915
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	40	30	0.02020623855425131	0.007438666596111952
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	40	40	0.02335307716730713	0.0047562525030017165
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	40	50	0.024435273526468165	0.004445605838431439
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	40	100	0.01935256959470736	0.009020013932031
rat	bakers	250	500	biological_process	top-1-acc	dsd-knn	50	-1	0.025713432126216663	0.00711208170725001
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	50	10	0.022128134960407796	0.004002694882257514
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	50	20	0.021977434776150474	0.0033918515914177637
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	50	30	0.022576683020455186	0.007373046484182756
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	50	40	0.027189498240239827	0.006245960229883022
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	50	50	0.02930117189459831	0.0049507040962558325
rat	bakers	250	500	biological_process	top-1-acc	mundo4-knn-weight-0.800	50	100	0.019225485685382643	0.008169899941997062
rat	bakers	250	500	biological_process	aupr	dsd-knn	10	-1	0.0038391780354621796	0.001621344114052863
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	10	10	0.006323079769446622	0.0015018350975032708
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	10	20	0.007269441650378029	0.001588476412072697
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	10	30	0.008584232802029825	0.0020703944448530664
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	10	40	0.010672574542008437	0.0012716883081242843
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	10	50	0.01063221943733944	0.0012498329253550033
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	10	100	0.011958666090127986	0.0019390019779846625
rat	bakers	250	500	biological_process	aupr	dsd-knn	20	-1	0.00523386934728486	0.0012218082789925882
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	20	10	0.007231515764781313	0.0011923978869079887
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	20	20	0.008486133802036066	0.0015827647371408427
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	20	30	0.00926547215194421	0.0018578731372524793
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	20	40	0.011318700551961316	0.0012032434117813936
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	20	50	0.011321318747884305	0.0014507071606449345
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	20	100	0.012382389475144357	0.0019434067512864412
rat	bakers	250	500	biological_process	aupr	dsd-knn	30	-1	0.006582036651919797	0.0014366385807670166
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	30	10	0.007930970161415134	0.0012041721830791045
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	30	20	0.00927817594331844	0.0015623788708038083
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	30	30	0.010062675464413438	0.0015182047211652575
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	30	40	0.011864019963182952	0.001083314637050591
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	30	50	0.01203927250371093	0.0015002844280325683
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	30	100	0.012798982933889282	0.0019879760088518865
rat	bakers	250	500	biological_process	aupr	dsd-knn	40	-1	0.007433015797724654	0.0011948896608354456
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	40	10	0.008612575146759695	0.0008678145700971491
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	40	20	0.01038830042538241	0.0019140318513218768
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	40	30	0.01111140553355253	0.0017875541733185314
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	40	40	0.012622380401936611	0.0004944919463911536
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	40	50	0.013043553216861098	0.0007040588999816218
