From	To
P31688	4932.YDR074W
Q08492	4932.YOR078W
Q06822	4932.YPR085C
P47010	4932.YJL142C
P52488	4932.YDR390C
P31379	4932.YAL018C
P53096	4932.YGL194C
P16861	4932.YGR240C
Q07418	4932.YDL065C
P39875	4932.YOR033C
P21374	4932.YJR050W
P35169	4932.YJR066W
P05150	4932.YJL088W
Q99385	4932.YDL128W
Q12457	4932.YDR026C
Q03207	4932.YML122C
P34761	4932.YNL197C
P01730	9606.ENSP00000011653
Q8WV44	9606.ENSP00000320869
P32607	4932.YOL067C
P53277	4932.YGR129W
P38760	4932.YHR015W
P47042	4932.YJL057C
P41812	4932.YNL221C
P22855	4932.YGL156W
Q9HE02	4896.SPAC589.02c.1
P04912	4932.YBL003C
P50273	4932.YDR350C
Q12044	4932.YOR220W
P15365	4932.YJR152W
Q9C0F1	9606.ENSP00000389427
Q04121	4932.YDR456W
P25585	4932.YCL058C
P38912	4932.YMR260C
P45819	4932.YGL170C
Q04018	4932.YMR244W
P42942	4932.YGR210C
P40586	4932.YIR042C
P24583	4932.YBL105C
P11632	4932.YPR052C
Q12745	4932.YLR440C
P19454	4932.YOR061W
P36087	4932.YKL070W
P10963	4932.YKR097W
P47030	4932.YJL083W
P35176	4932.YDR304C
Q12163	4932.YDR162C
P50089	4932.YGR237C
P53220	4932.YGR033C
P53254	4932.YGR090W
P22146	4932.YMR307W
P07286	4932.YBR243C
Q9Y281	9606.ENSP00000298159
Q07657	4932.YDL225W
P12612	4932.YDR212W
P52917	4932.YPR173C
Q08923	4932.YPL181W
P38809	4932.YHR097C
P08431	4932.YBR018C
P04840	4932.YNL055C
Q06671	4932.YLR431C
P41920	4932.YDR002W
P19880	4932.YML007W
P39683	4932.YOR209C
Q04711	4932.YML045W
P53273	4932.YGR125W
P25659	4932.YCR076C
P38069	4932.YBR015C
P34161	4932.YML027W
P07170	4932.YDR226W
P46784	4932.YMR230W
P38238	4932.YBR061C
Q04430	4932.YDR531W
P53097	4932.YGL193C
Q12318	4932.YLR376C
Q07376	4932.YDL054C
P38968	4932.YDL195W
P25491	4932.YNL064C
P04161	4932.YDR408C
Q12223	4932.YDL059C
P07248	4932.YDR216W
Q07799	4932.YLL007C
P32337	4932.YMR308C
P43356	9606.ENSP00000333487
P38072	4932.YBR024W
P15705	4932.YOR027W
Q12342	4932.YDL146W
Q08561	4932.YOR189W
P53966	4932.YNL029C
P18848	9606.ENSP00000336790
Q03096	4932.YIL009C-A
P34225	4932.YBL060W
P53343	4932.YGR294W
Q03012	4932.YPL138C
P48365	4932.YDL234C
P40341	4932.YMR089C
Q08218	4932.YOL047C
P41697	4932.YLR319C
O13579	4932.YLR379W
P53848	4932.YNL256W
O13555	4932.YLR331C
P38995	4932.YDR270W
P25036	4932.YOR003W
P25626	4932.YCR046C
Q08886	4932.YOR371C
P36148	4932.YKR067W
Q03305	4932.YDR465C
P38987	4932.YML064C
P53061	4932.YGL249W
O75150	9606.ENSP00000325677
P43614	4932.YFR042W
Q06137	4932.YLR345W
Q08054	4932.YOL007C
P48236	4932.YGR149W
Q12231	4932.YDR316W-A
P22211	4932.YNL183C
P47177	4932.YJR149W
P32361	4932.YHR079C
P31381	4932.YAL022C
P43604	4932.YFR026C
Q06451	4932.YPR156C
P38249	4932.YBR079C
P53137	4932.YGL110C
Q99401	4932.YPL238C
Q02486	4932.YMR072W
P13586	4932.YGL167C
Q03899	4932.YDR131C
Q08963	4932.YPL213W
P17505	4932.YKL085W
P28789	4932.YDL205C
P14743	4932.YLR195C
P40015	4932.YER019W
Q08109	4932.YOL013C
P32802	4932.YLR083C
P53166	4932.YGL064C
O75886	9606.ENSP00000263904
Q12385	4932.YLR099C
Q15654	9606.ENSP00000200457
P09624	4932.YFL018C
P47130	4932.YJR084W
P06168	4932.YLR355C
P53753	4932.YNR067C
Q03973	4932.YDR174W
P53121	4932.YGL139W
Q08108	4932.YOL011W
P0CX41	4932.YBL087C
Q07458	4932.YDL076C
P47103	4932.YJR032W
P40559	4932.YIL002C
P40858	4932.YJL096W
Q03201	4932.YDR041W
Q04501	4932.YML090W
P03874	4932.YHL038C
P22579	4932.YOL004W
P32356	4932.YDR001C
P38300	4932.YBR185C
Q12051	4932.YPL069C
Q08295	4932.YOL157C
P36168	4932.YKR096W
P40310	4932.YJL093C
P32582	4932.YGR155W
P42826	4932.YGR194C
P53319	4932.YGR256W
P53064	4932.YGL244W
P39962	4932.YER123W
P53228	4932.YGR043C
Q07541	4932.YDL121C
P40101	4932.YER186C
Q8NDC0	9606.ENSP00000378851
P54858	4932.YDR068W
P50077	4932.YGR217W
P18852	4932.YJR086W
P39083	4932.YOR127W
Q12272	4932.YOL102C
P40541	4932.YIL026C
Q12431	4932.YLL014W
Q06709	4932.YLR387C
P40478	4932.YIL114C
P00427	4932.YHR051W
Q02733	4932.YPL017C
P17064	4932.YER056C
P32644	4932.YER176W
Q08914	4932.YOR391C
Q06266	4932.YLR183C
P29461	4932.YOR208W
Q15645	9606.ENSP00000166345
P35180	4932.YGR082W
Q04491	4932.YLR208W
P38314	4932.YBR214W
P40500	4932.YIL089W
P54964	4932.YLR059C
Q02555	4932.YMR239C
P40359	4932.YJL072C
P47110	4932.YJR043C
P25358	4932.YCR034W
P32366	4932.YLR447C
P32461	4932.YKL191W
P17123	4932.YHR152W
P53955	4932.YNL047C
P33317	4932.YBR252W
Q12378	4932.YDR066C
P25656	4932.YCR094W
P35183	4932.YBL069W
Q05672	4932.YDL189W
P25567	4932.YCL037C
Q96HA8	9606.ENSP00000287387
P40339	4932.YOL094C
Q05776	4932.YLR193C
Q5D1E8	9606.ENSP00000362179
Q96D09	9606.ENSP00000437872
Q05790	4932.YLR213C
Q04347	4932.YMR014W
P42221	4932.YOR394W
Q06625	4932.YPR184W
P53286	4932.YGR142W
P38335	4932.YBR255W
Q9UI14	9606.ENSP00000222008
P38695	4932.YHR096C
P53749	4932.YNR063W
Q05934	4932.YLR373C
Q6B0Y6	4932.YMR052C-A
P40466	4932.YIL131C
P22353	4932.YJL063C
P32464	4932.YKL189W
P42073	4932.YDR195W
O43617	9606.ENSP00000480332
Q08961	4932.YPL208W
P18238	4932.YBR085W
Q08741	4932.YOR282W
P16664	4932.YDR137W
P48562	4932.YNL298W
P40473	4932.YIL122W
P53974	4932.YNL020C
P28737	4932.YGR028W
Q06892	4932.YPL188W
P24482	4932.YPR175W
P40009	4932.YER005W
Q04399	4932.YDR506C
P32911	4932.YNL244C
Q07812	9606.ENSP00000293288
Q03494	4932.YDR210W-B
P30606	4932.YOL103W
Q04007	4932.YDR186C
Q9GZT8	9606.ENSP00000386394
P47152	4932.YJR115W
Q04368	4932.YMR025W
Q02939	4932.YPL122C
Q08032	4932.YLR103C
Q12383	4932.YOL125W
P04801	4932.YIL078W
Q9UJX5	9606.ENSP00000426654
P31116	4932.YJR139C
P25627	4932.YCR047C
Q05568	4932.YDR265W
P41818	4932.YMR311C
P06182	4932.YAL039C
P38090	4932.YBR132C
P32447	4932.YJL115W
P32863	4932.YGL163C
P46999	4932.YJL160C
Q12345	4932.YLR052W
P22149	4932.YGL071W
P41318	4932.YNL006W
P35207	4932.YLR398C
Q06538	4932.YLR241W
Q06324	4932.YLR190W
P38792	4932.YHR069C
P53940	4932.YNL077W
P32467	4932.YHR092C
Q6Q546	4932.YNR032C-A
Q04305	4932.YMR093W
P54784	4932.YML065W
P36037	4932.YKL213C
P38810	4932.YHR098C
P41911	4932.YOL059W
P53067	4932.YGL241W
P53873	4932.YNL187W
P10862	4932.YCR066W
P43605	4932.YFR027W
Q08581	4932.YOR195W
P38174	4932.YBL091C
P20084	4932.YMR286W
Q06604	4932.YPR171W
P13434	4932.YBL021C
Q04067	4932.YDR429C
P40479	4932.YIL113W
P42935	4932.YGR200C
P54070	4932.YPL053C
Q06469	4932.YPR158W
P47129	4932.YJR083C
Q12492	4932.YPR064W
P47095	4932.YJR024C
P43613	4932.YFR041C
P22696	4932.YJR017C
P22140	4932.YHR123W
Q12110	4932.YLR049C
P53210	4932.YGR017W
P63279	9606.ENSP00000348056
P53912	4932.YNL134C
P38705	4932.YHR011W
P38247	4932.YBR077C
P38922	4932.YNL004W
P09368	4932.YLR142W
O75936	9606.ENSP00000263182
P35189	4932.YPL129W
P32350	4932.YLL019C
Q92328	4932.YOL009C
O13537	4932.YHR145C
P38823	4932.YHR115C
P08524	4932.YJL167W
Q12753	4932.YPR008W
Q12500	4932.YLR114C
P36126	4932.YKR031C
Q12153	4932.YDR312W
P09932	4932.YDL227C
Q12338	4932.YLR154C
Q3E7A6	4932.YML007C-A
P22108	4932.YDR530C
P38799	4932.YHR078W
P38848	4932.YHR150W
P53941	4932.YNL075W
P07252	4932.YJL209W
P53094	4932.YGL197W
P53903	4932.YNL149C
P54072	4932.YLR152C
O13539	4932.YHR167W
Q8WTR7	9606.ENSP00000472808
Q04740	4932.YMR234W
P0CX35	4932.YHR203C
P51533	4932.YOR328W
Q06407	4932.YDR379W
P06244	4932.YJL164C
P32862	4932.YKL038W
P35198	4932.YDR277C
P17967	4932.YCL043C
Q02818	9606.ENSP00000385923
P53130	4932.YGL121C
P48567	4932.YNL292W
O13525	4932.YDR204W
P34251	4932.YKL107W
P40077	4932.YER124C
Q06188	4932.YLR455W
Q03254	4932.YMR277W
P24309	4932.YKL149C
Q02196	4932.YKL001C
