EBI-11621275	P40571
P39735	P11484
P48236	Q12159
P17423	P36160
P32945	P37366
Q08962	P25567
Q02981	P25651
P39009	P14832
P25594	P52891
P19263	P10592
P32585	P40356
P32589	Q03281
P32641	P29311
Q06629	P33895
Q03833	P38129
P53043	P09624
Q12016	P35197
P48363	P52553
P07258	P0CS90
Q07623	Q08208
Q03330	P25364
P40857	P38238
P10592	P22202
Q12060	P07248
Q04601	Q12379
P38082	P47079
P53731	P33204
P20049	P10592
P41810	P38682
P28003	P32905
P40070	Q13049
P53317	Q05946
Q03063	P10591
P38902	P41895
P15732	Q9UJV3-2
P32589	Q04623
P39744	P38315
P31384	P15992
P32589	P32775
P38146	P17709
Q07623	P47108
P08566	P02829
Q12389	P43586
Q07800	P09435
P38719	P37012
Q07980	P37366
Q06070	P32590
P38112	P38315
P34111	P10591
Q00723	Q06677
Q06639	P05317
P53921	P32447
P40026	P32447
Q12373	Q12373
P53742	P32565
P32598	P35178
P39743	P38750
P05316	P80428
P29496	Q08032
P38262	P25491
Q02260	Q08963
P53039	P38191
P39010	P46674
Q01477	P14832
P23180	Q9BYV6-2
Q01939	Q12377
Q05021	Q12297
P04912	P39935
P39009	P53863
Q12415	P34111
P25491	P38633
Q12248	P35734
P38615	P20485
P15646	P34247
P32589	P25297
P32863	P16474
P53233	P27472
P53732	Q01163
P53742	P04649
P36009	Q06506
P53741	P53131
Q12513	P25502
Q12495	P32774
P11484	Q12340
P25303	P47046
P04819	Q06218
Q12330	P49704
P46988	P40047
Q07533	P53939
Q12246	P10591
P53583	P16140
P07270	P38828
P52960	Q12329
P25368	P32790
P09457	Q08361
P38991	P39743
P38788	P42845
P23638	P40302
P32381	P33204
P33309	P32264
Q08962	P00549
Q07457	Q00684
Q02959	Q06639
P11484	P33891
Q02455	P10592
P19735	P32861
Q12754	P32790
Q08925	P38788
P02829	Q08235
P47170	P10591
Q03640	P00330
P32527	P38011
P10592	P24384
P25386	P40564
P53290	P32565
P53883	Q3E7Y3
Q03785	P40150
P39101	P08458
P53946	P60010
P50086	P39987
Q03690	P32589
P43586	P04649
P32939	P32912
P02309	P25632
P38212	P53907
P39081	P08518
P53219	Q08361
P22470	P22138
P22215	Q15437
P40438	P61830
Q06011	P38251
P53076	Q12027
Q12161	P02294
P53858	P25342
P42842	P16140
P40991	P49626
P41811	P39517
