org1	org2	norm(R-R0)	norm(R-R1)	sim_with_isorank-R(R0)	sim_with_isorank-R(R1)	Edge Correctness (R0)	Edge Correctness (R1)	Edge Correctness (R)	Symmetric substructure (S^3-R0)	Symmetric substructure (S^3-R1)	Symmetric substructure (S^3-R)	LCCS (R0)	LCCS (R1)	LCCS (R)	FC-molecular_function(R0)	FC-biological_process(R0)	FC-cellular_component(R0)	FC-molecular_function(R1)	FC-biological_process(R1)	FC-cellular_component(R1)	FC-molecular_function(R2)	FC-biological_process(R2)	FC-cellular_component(R2)	alpha
fly	rat	0.003482264848174185	0.0003353844853993829	0.37799999999999995	0.516	0.015019379844961241	0.0379746835443038	0.05148614609571788	0.0211932930462167	0.0211932930462167	0.034242444548683235	53	42	77	0.4950213781383064	0.1904141774626666	0.4288715322076791	0.42988117464611975	0.17034384236772418	0.3992324314981997	0.3913250012789547	0.15442059661774254	0.3689532564243649	0.600000
fly	rat	0.0021979619905395237	6.90497702862591e-05	0.3875	0.5295	0.014934660858743	0.03801146626875049	0.051211001642036125	0.021439645625692137	0.021439645625692137	0.033841980332316036	51	43	66	0.4918296135909883	0.1900702159099649	0.4288908265633361	0.4208915784446756	0.1676579347437959	0.3987022409668192	0.39207579392896896	0.15263692494600792	0.3761021094435109	0.800000
human	bakers	0.000274537895149512	6.384393553324934e-05	0.966	0.9865	0.24858785555779706	0.2666831683168317	0.2641975308641975	0.08033104682373994	0.08033104682373994	0.07979120059656973	2056	2376	2374	0.593304179589822	0.3604735284661135	0.5024972075194922	0.5925853317809052	0.3593429005745208	0.5013036116671503	0.5927665161273387	0.3595414841731869	0.5018919042298899	0.200000
human	bakers	0.0003844170384308712	5.511156358107719e-05	0.9690000000000001	0.99	0.21395923409512044	0.24844398340248966	0.24797843665768196	0.07347301898947756	0.07347301898947756	0.07337986041874378	1203	1977	1966	0.5952850573326067	0.3612680543658385	0.5031329901041608	0.5934155971453223	0.3604827826004802	0.5016371240676686	0.5934990766074495	0.3604816193393321	0.5023075741735739	0.400000
human	bakers	0.0003708888886505699	3.16377950036305e-05	0.9765	0.991	0.21371521277923372	0.2163166697639844	0.21654200407986648	0.05803074366431243	0.05803074366431243	0.05818356974387935	1174	1207	1202	0.5952071475387484	0.3616136230253281	0.5026859326106219	0.5949255220880284	0.3615689148975567	0.5029844888976874	0.5950341384736832	0.3612583074164916	0.5025596073151046	0.600000
human	bakers	0.00024326629901030752	9.952274454430166e-06	0.9865	0.996	0.2131572295247725	0.21329793801703914	0.21278696618118986	0.057489433924589835	0.057489433924589835	0.057387280928049525	1150	1188	1187	0.5948200763774886	0.3615891905742788	0.5027806694222261	0.5946871646617538	0.3615338426112996	0.5024144941920449	0.5949331941949877	0.3616212237051872	0.5025080028988624	0.800000
human	fly	0.0003525040225351167	7.482060796087757e-05	0.934	0.9745	0.06091841946417793	0.05923900660742766	0.06007322695836913	0.04747471058686046	0.04747471058686046	0.04816264405305501	147	143	154	0.6300438017910733	0.33435526037764274	0.5835483230867496	0.6240687092647592	0.3296715148689762	0.5777267290732001	0.6237099397195317	0.32973415721532684	0.5775512765461127	0.200000
human	fly	0.0004979837636027349	5.9002820221861624e-05	0.9535	0.9865	0.06395715185885319	0.06134067080981071	0.06166563732243813	0.048971707760481764	0.048971707760481764	0.049245011002352235	95	126	125	0.6302484760935476	0.3343725291181165	0.5850675487553739	0.6269068538098618	0.3315402879993392	0.5807888932370496	0.6263597905229453	0.3310284573890345	0.5807678082840141	0.400000
human	fly	0.00048295974862293093	3.184048828379401e-05	0.973	0.9940000000000001	0.06384676775738228	0.06502680226441561	0.06465067778936393	0.05156523120928015	0.05156523120928015	0.05134474327628362	21	132	134	0.6305363388873481	0.3345392082633573	0.5852659572079929	0.6275435779621963	0.3316615183103374	0.5815849601542534	0.6278215278196344	0.3315532304572905	0.5818093027284743	0.600000
human	fly	0.00031703517105631187	9.51568685243056e-06	0.988	0.997	0.06585336965533578	0.0666552138807765	0.06675843083275981	0.05221369936751447	0.05221369936751447	0.05227701428186473	18	38	38	0.6306949368810835	0.3345417906431141	0.5853576057358887	0.6299469365274024	0.3339158128302755	0.5846296781349725	0.6303604605439289	0.3339364269534662	0.5846970024851448	0.800000
human	mouse	0.0004771719985010088	0.00019038634829533752	0.96	0.9865	0.07739617586164901	0.0894521058516586	0.09875683206515913	0.06629572629335859	0.06629572629335859	0.0722858487605899	191	358	435	0.6612097185930367	0.34748391638413945	0.5749397796048642	0.6567234681246649	0.34439940219676424	0.5687346123479945	0.6556553034837879	0.3434771316903098	0.5686185426512038	0.200000
human	mouse	0.0006095586709675318	0.0001244429736990882	0.9785	0.9935	0.08635885293343856	0.09211033419589276	0.09218612818261633	0.06840577339820911	0.06840577339820911	0.06848198271645198	190	309	311	0.6611483106869039	0.3475196722704043	0.5753460404098623	0.6586340650615679	0.3453555279772612	0.5717414141953198	0.6579952238080664	0.34482340759945473	0.5708076566469321	0.400000
human	mouse	0.0005706251297022294	5.867625795096636e-05	0.9865	0.9985	0.08627216577007372	0.09332941522186307	0.09344474520418973	0.06903147278734133	0.06903147278734133	0.06910657556899777	158	264	264	0.6614011896162535	0.3478358279775106	0.5754327614369232	0.6597918893577137	0.3455048465175428	0.5736864900214933	0.6594361655813645	0.3453714385643793	0.5736775188680927	0.600000
human	mouse	0.00036882747992077414	1.555551000181477e-05	0.9935	0.9985	0.08627216577007372	0.08545975182946229	0.0853650773441976	0.06339391078593344	0.06339391078593344	0.06332640725349452	158	178	177	0.6614011896162535	0.3478358279775106	0.5754327614369232	0.6604624716293441	0.3460479499924572	0.5752793439343867	0.6604332531262145	0.3460224873101412	0.5748952560765754	0.800000
human	rat	0.001582741499713184	0.0007805248430219398	0.894	0.958	0.03336265669672312	0.046224125624553886	0.052983944259315366	0.03963183275807202	0.03963183275807202	0.044871465955154184	440	597	652	0.6209018810596801	0.3077631930926477	0.463822005463759	0.6198791066936479	0.30700167825442143	0.4631457421448279	0.6203096762896306	0.3069739265872103	0.4634382815079948	0.200000
human	rat	0.0017282896572917582	0.0004125317270700996	0.899	0.9745	0.01803390727308803	0.0473551637279597	0.05088940448569219	0.0403943377148635	0.0403943377148635	0.04306846445869878	64	566	576	0.6224075886945664	0.3084249190501491	0.4642558378217449	0.6201956270983643	0.30763290963159395	0.4637904461416372	0.6201942956789536	0.3074940781497486	0.4640556071989675	0.400000
human	rat	0.0015221474491761149	0.00015839696296579968	0.903	0.9825	0.0189378072708834	0.04056236912952438	0.04138036341426172	0.03475942682833047	0.03475942682833047	0.03536104804405125	76	408	388	0.6224075886945664	0.3084249190501491	0.4642558378217449	0.6211613599520156	0.3077417707125008	0.4640918238523222	0.6211600285326049	0.30771654006629395	0.4642608845224078	0.600000
human	rat	0.0009579152502446422	3.263859638722705e-05	0.9059999999999999	0.9825	0.018585065808329103	0.0402766964125292	0.04133642238751372	0.034523473395107675	0.034523473395107675	0.035326299335678	75	394	394	0.6224075886945664	0.3084249190501491	0.4642558378217449	0.6213291859418222	0.3079302951504333	0.4643599830944286	0.6213291859418222	0.3079302951504333	0.4643599830944285	0.800000
mouse	bakers	0.0011927670898320396	0.0006286961255926209	0.7575	0.8795	0.130879345603272	0.20809523809523808	0.2371005455962588	0.02050199390100868	0.02050199390100868	0.02383900443552811	589	695	813	0.5151049625837868	0.2652942855696259	0.5238562006061229	0.5197885376885709	0.2701332615903209	0.5272163369252811	0.5189244096457627	0.2710559455926119	0.5266490812488683	0.200000
mouse	bakers	0.0012956431916278212	0.00039407182630091746	0.7695	0.9195	0.0887451843698404	0.22034168928628453	0.21933621933621933	0.0220775273169405	0.0220775273169405	0.02199887432660609	389	724	712	0.5189709718924688	0.26524076433702176	0.526214607474271	0.5200979408371376	0.2725781542116453	0.5269259870147454	0.5205780072481642	0.2730326702673665	0.5292151203844804	0.400000
mouse	bakers	0.0011149536143448976	0.00017756269761960353	0.7805	0.9415	0.08962004405286343	0.1932948347770292	0.19146889031430406	0.019466253109754132	0.019466253109754132	0.019374624758628525	389	586	581	0.5152911980666536	0.26490408747381805	0.5258562266918305	0.5232030377872011	0.27330308862255026	0.5296484851763676	0.5210845531954025	0.274345608964579	0.529438368463682	0.600000
mouse	bakers	0.0006929763616983438	4.556070700034364e-05	0.789	0.9625	0.08413395553115564	0.17381526104417672	0.1741997748110021	0.01760494630654084	0.01760494630654084	0.01781425798598546	374	458	457	0.5204021824577272	0.2655664302214676	0.5273833895593911	0.5230271510743175	0.272975711314732	0.5307091640966601	0.5220811566386548	0.2736946817560809	0.5304085528734047	0.800000
